key,english,swahili
"payslip.sharingNotAvailable","PDF sharing is not available on this device.","Kushiriki PDF hakupatikani kwenye kifaa hiki."
"payslip.couldNotOpenPdf","Could not open PDF.","Haikuweza kufungua PDF."
"payslip.brnLabel","BRN","BRN"
"payslip.payPeriodLabel","Pay period","Kipindi cha malipo"
"payslip.homeSiteLabel","Branch","Tawi"
"payslip.estimateTitle","This month's estimated payslip","Pesa inayokadiriwa ya mwezi huu"
"payslip.estimateSubtitle","Based on your clock-ins so far. Marked ESTIMATED — not for banks, tax, immigration, or legal use. Final pay may change.","Kulingana na saa zako za kuingia hadi sasa. Imetiwa alama kuwa ESTIMATED — si ya benki, kodi, uhamiaji au matumizi ya kisheria. Malipo ya mwisho yanaweza kubadilika."
"payslip.estimateDialogTitle","Estimated payslip","Hati ya malipo iliyokadiriwa"
"payslip.downloadEstimated","Download estimated payslip","Pakua kadirio la malipo"
"payslip.officialExists","An official payslip exists for this month — opening it instead.","Payslip rasmi ipo ya mwezi huu - fungua badala yake."
"payslip.estimatedNotAvailable","Estimated payslips are not yet available. Try again later.","Kadirio la hati za malipo bado hazipatikani. Jaribu tena baadaye."
"payslip.noClockinsForEstimate","No estimable pay yet this month — clock out of any open shifts to generate an estimate.","Bado hakuna malipo yanayokadiriwa mwezi huu - ondoa zamu yoyote wazi ili kutoa makadirio."
"payslip.noPayBasis","We can't estimate your pay yet because your salary or hourly rate hasn't been set up. Ask your employer to configure it.","Bado hatuwezi kukadiria malipo yako kwa sababu mshahara wako au kiwango cha saa moja hakijawekwa. Uliza mwajiri wako kuisanidi."
"payroll.overviewTitle","Payroll Overview","Muhtasari wa Mishahara"
"payroll.earningsTrackerTitle","Earnings Tracker — Live","Kifuatilia Mapato - Moja kwa Moja"
"payroll.totalMonthly","Total Monthly Payroll","Jumla ya Malipo ya Kila Mwezi"
"payroll.searchPlaceholder","Search by employee name or job title","Tafuta kwa jina la mfanyakazi au cheo cha kazi"
"payroll.noMatchingPositions","No matching positions","Hakuna nafasi zinazolingana"
"payroll.noPayrollData","No payroll data yet","Hakuna data ya malipo bado"
"payroll.noPayrollDataHint","Set up salaries to start tracking payroll for your team.","Weka mishahara ili uanze kufuatilia malipo ya timu yako."
"payroll.setupSalariesCta","Set up salaries","Weka mishahara"
"payroll.estimatedEarnings","Estimated earnings","Makadirio ya mapato"
"payroll.profileRevenue","Profile revenue","Mapato ya wasifu"
"payroll.profileRevenueHint","Total monthly compensation: base salary + allowances.","Jumla ya fidia ya kila mwezi: mshahara wa msingi + posho."
"payroll.totalEmployees","Total Employees","Jumla ya Wafanyakazi"
"payroll.managers","Managers","Wasimamizi"
"payroll.departments","Departments","Idara"
"payroll.statusOnTrack","On Track","Kwenye Wimbo"
"payroll.statusAtRisk","At Risk","Katika Hatari"
"payroll.statusCritical","Critical","Muhimu"
"payroll.monthlySalary","Monthly Salary","Mshahara wa Mwezi"
"payroll.monthlyHours","Monthly Hours","Saa za Kila Mwezi"
"payroll.daysPerMonth","Days per Month","Siku kwa Mwezi"
"payroll.hourlyRate","Hourly Rate","Kiwango cha Saa"
"payroll.noEmployeesFound","No employees found.","Hakuna wafanyikazi waliopatikana."
"payroll.searchEmployeePosition","Search employee or position...","Tafuta mfanyakazi au nafasi..."
"payroll.toastFetchLogsFailedBody","Could not fetch time logs.","Haikuweza kuleta kumbukumbu za saa."
"payroll.toastNoDataTitle","No Data","Hakuna Data"
"payroll.toastNoDataBody","There is no data to export.","Hakuna data ya kusafirisha."
"payroll.toastExportFailedTitle","Export Failed","Imeshindwa Kutuma"
"payroll.toastExportFailedBody","Could not save or share the CSV file.","Haikuweza kuhifadhi au kushiriki faili ya CSV."
"payroll.unlockDashboard","Unlock Dashboard","Fungua Dashibodi"
"payroll.guide.title","How payroll works","Jinsi mishahara inavyofanya kazi"
"payroll.guide.step1Title","Components","Vipengele"
"payroll.guide.step1Body","Atomic earnings and deductions (BASIC, TRANSPORT, NPS). These are the building blocks.","Mapato na makato ya atomiki (BASIC, TRANSPORT, NPS). Hizi ni vitalu vya ujenzi."
"payroll.guide.step2Title","Structures","Miundo"
"payroll.guide.step2Body","Bundle components into reusable templates per department or role.","Unganisha vipengele katika violezo vinavyoweza kutumika tena kwa kila idara au jukumu."
"payroll.guide.step3Title","Assignments","Kazi"
"payroll.guide.step3Body","Assign a structure to each employee, with optional per-component overrides.","Kabidhi muundo kwa kila mfanyakazi, na kubatilisha kwa hiari kwa kila kipengele."
"payroll.guide.step4Title","Run payroll","Endesha mishahara"
"payroll.guide.step4Body","Create a monthly draft, review payslips, finalize with OTP. PDFs and statutory splits are produced automatically.","Unda rasimu ya kila mwezi, kagua hati za malipo, kamilisha kwa OTP. PDF na migawanyiko ya kisheria hutolewa kiotomatiki."
"payroll.guide.next","Next","Inayofuata"
"payroll.guide.back","Back","Nyuma"
"payroll.guide.done","Got it","Nimeipata"
"payroll.guide.skip","Skip","Ruka"
"payroll.guide.showAgain","Show guide again","Onyesha mwongozo tena"
"payroll.guide.glossaryTitle","Glossary","Faharasa"
"payroll.guide.glossary.payrollRun","Payroll Run — the monthly draft → finalize cycle that produces payslips.","Uendeshaji wa Mishahara - rasimu ya kila mwezi → kukamilisha mzunguko unaozalisha hati za malipo."
"payroll.guide.glossary.payslip","Payslip — a single employee's pay statement for one period.","Payslip - taarifa ya malipo ya mfanyakazi mmoja kwa kipindi kimoja."
"payroll.guide.glossary.component","Component — an atomic earning or deduction (e.g. BASIC, TRANSPORT).","Kijenzi - mapato au makato ya atomiki (k.m. BASIC, TRANSPORT)."
"payroll.guide.glossary.structure","Structure — a bundle of components used as a template.","Muundo - kifungu cha vipengele vinavyotumika kama kiolezo."
"payroll.guide.glossary.assignment","Assignment — links one employee to one structure with effective dates.","Kazi - inaunganisha mfanyakazi mmoja kwa muundo mmoja na tarehe zinazofaa."
"payroll.guide.glossary.statutoryDeduction","Statutory Deduction — a legally required deduction (e.g. NPS, NSF, CSG).","Makato ya Kisheria - makato yanayohitajika kisheria (k.m. NPS, NSF, CSG)."
"payroll.guide.glossary.paye","PAYE — Pay-As-You-Earn income tax, computed from progressive bands.","PAYE — Lipa-As-You-Earn Kodi ya mapato, inayokokotwa kutoka kwa bendi zinazoendelea."
"payroll.guide.glossary.oneOffAllowance","One-off Allowance — an ad-hoc payment scheduled for a single month.","Posho ya mara moja - malipo ya dharula yaliyoratibiwa kwa mwezi mmoja."
"payroll.guide.glossary.stepUpToken","Step-up Token — a short-lived OTP-backed token required for finalize.","Tokeni ya Kuongeza kasi — tokeni ya muda mfupi inayoungwa mkono na OTP inahitajika ili kukamilishwa."
"leaveScreen.title","Leave Request","Acha Ombi"
"leaveScreen.newRequest","New Request","Ombi Jipya"
"leaveScreen.myRequests","My Requests","Maombi Yangu"
"leaveScreen.balances","Your Balances · {{year}}","Salio Lako · {{year}}"
"leaveScreen.noQuotaSet","No quota set","Hakuna mgao uliowekwa"
"leaveScreen.used","{{count}} used","{{count}} imetumika"
"leaveScreen.daysLabel","/ {{total}} days","/ siku {{total}}"
"leaveScreen.leaveType","Leave Type","Acha Aina"
"leaveScreen.notes","Notes (Optional)","Vidokezo (Si lazima)"
"leaveScreen.notesPlaceholder","Reason for leave…","Sababu ya kuondoka…"
"leaveScreen.quickSelect","Quick Select","Chagua Haraka"
"leaveScreen.today","Today","Leo"
"leaveScreen.thisWeek","This Week","Wiki hii"
"leaveScreen.nextWeek","Next Week","Wiki Ijayo"
"leaveScreen.thisMonth","This Month","Mwezi huu"
"leaveScreen.submit","Submit","Wasilisha"
"leaveScreen.submitting","Submitting…","Inawasilisha..."
"leaveScreen.noRequests","No requests yet","Bado hakuna maombi"
"leaveScreen.noRequestsHint","Submit your first leave request using the New Request tab.","Wasilisha ombi lako la kwanza la likizo ukitumia kichupo cha Ombi Jipya."
"leaveScreen.statutoryBadge","STAT","STAT"
"leaveScreen.daysSelected","{{count}} day{{plural}} selected","{{count}} siku{{plural}} imechaguliwa"
"leaveScreen.oneDay","1 day","siku 1"
"leaveScreen.leaveSuffix"," Leave","Ondoka"
"leaveScreen.alertNoDatesTitle","No dates selected","Hakuna tarehe zilizochaguliwa"
"leaveScreen.alertNoDatesBody","Please select at least one day.","Tafadhali chagua angalau siku moja."
"leaveScreen.toastSubmittedTitle","Submitted","Imewasilishwa"
"leaveScreen.toastSubmittedBody","{{count}} leave request{{plural}} submitted successfully.","{{count}} ombi la kuondoka{{plural}} limewasilishwa."
"leaveScreen.toastSomeFailed","Some requests failed to submit. Please try again.","Baadhi ya maombi yameshindwa kuwasilishwa. Tafadhali jaribu tena."
"leaveScreen.alertCancelTitle","Cancel Request","Ghairi Ombi"
"leaveScreen.alertCancelBody","Are you sure you want to cancel this leave request?","Je, una uhakika unataka kughairi ombi hili la likizo?"
"leaveScreen.alertCancelConfirm","Yes, Cancel","Ndiyo, Ghairi"
"leaveScreen.statusPending","pending","inasubiri"
"leaveScreen.statusApproved","approved","kupitishwa"
"leaveScreen.statusRejected","rejected","kukataliwa"
"leaveScreen.loadingTypes","Loading leave types…","Inapakia aina za likizo..."
"leaveScreen.from","FROM","KUTOKA"
"leaveScreen.to","TO","KWA"
"leaveScreen.daysShort","{{count}}d","{{count}}d"
"profile.lockedBanner","Profile locked","Wasifu umefungwa"
"profile.lockedDescription","Your identity details (name, date of birth, passport, gender) are read-only. Contact HR to request changes.","Maelezo yako ya utambulisho (jina, tarehe ya kuzaliwa, pasipoti, jinsia) ni ya kusoma tu. Wasiliana na HR ili uombe mabadiliko."
"profile.lockedReason","Reason: {{reason}}","Sababu: {{reason}}"
"profile.lockedHint","Locked — contact HR","Imefungwa - wasiliana na HR"
"profile.stepPersonal","Personal","Binafsi"
"profile.stepSchedule","Schedule","Ratiba"
"profile.stepEmployer","Employer","Mwajiri"
"profile.stepLegal","Legal","Kisheria"
"profile.sectionPersonalDetails","Personal Details","Maelezo ya Kibinafsi"
"profile.sectionWorkingHours","Working Hours","Saa za Kazi"
"profile.sectionWeeklySchedule","Weekly Schedule (Hours per day)","Ratiba ya Wiki (Saa kwa siku)"
"profile.sectionAutoClock","Clock-In/Out Reminders","Vikumbusho vya Kuingia/Kutoka"
"profile.sectionEmployerJob","Employer & Job","Mwajiri na Kazi"
"profile.sectionLegalCompensation","Legal & Compensation","Kisheria na malipo"
"profile.messageFromEmployer","Message from Employer","Ujumbe kutoka kwa Mwajiri"
"profile.yesCovered","Yes, covered","Ndiyo, imefunikwa"
"profile.reasonsForDeduction","Reasons for deduction:","Sababu za kupunguzwa:"
"profile.permitOccupational","Occupational","Kikazi"
"profile.permitWork","Work","Kazi"
"profile.permitNone","None","Hakuna"
"profile.deductionFood","Food","Chakula"
"profile.deductionLodging","Lodging","Malazi"
"profile.deductionTransport","Transport","Usafiri"
"profile.deductionUniform","Uniform","Sare"
"profile.labelGender","Gender","Jinsia"
"profile.labelDateOfBirth","Date of Birth","Tarehe ya Kuzaliwa"
"profile.labelPassportOrId","Passport / ID Number","Pasipoti / Nambari ya Kitambulisho"
"profile.labelEmploymentStartDate","Employment Start Date","Tarehe ya Kuanza Kazi"
"profile.labelEmployerName","Employer Name","Jina la Mwajiri"
"profile.labelEmployerBrn","Employer BRN","Namba ya Usajili ya Mwajiri (BRN)"
"profile.labelJobTitle","Job Title","Cheo cha Kazi"
"profile.labelEmployerEmail","Employer Email","Barua pepe ya Mwajiri"
"profile.labelEmployerPhone","Employer Phone","Simu ya Mwajiri"
"profile.labelWorkAddress","Work Address","Anwani ya Kazini"
"profile.labelContract","Contract?","Mkataba?"
"profile.labelPermit","Permit?","Ruhusa?"
"profile.labelPermitType","Permit Type","Aina ya Ruhusa"
"profile.labelTouristVisa","Working on Tourist Visa?","Je, unafanya kazi kwenye Visa ya Watalii?"
"profile.labelMonthlySalary","Monthly Salary ({{currency}})","Mshahara wa Kila Mwezi ({{currency}})"
"profile.labelMonthlyAllowance","Monthly Allowance ({{currency}})","Posho ya Kila Mwezi ({{currency}})"
"profile.labelMonthlyRevenue","Monthly Revenue ({{currency}})","Mapato ya Kila Mwezi ({{currency}})"
"profile.labelHoursPerMonth","Hours / Month","Saa / Mwezi"
"profile.labelDaysPerMonth","Days / Month","Siku / Mwezi"
"profile.labelBreakMinutes","Break (Mins / Day)","Mapumziko (Dakika / Siku)"
"profile.labelSalaryDeductions","Salary Deductions?","Makato ya Mishahara?"
"profile.labelAccommodationCovered","Accommodation Covered?","Malazi Yamefunikwa?"
"profile.labelPassportHeld","Passport held by employer?","Pasipoti inashikiliwa na mwajiri? (ndio/hapana)"
"profile.labelJobMatchesPromise","Job same as promised?","Kazi ni sawa na ahadi?"
"profile.labelDoubtsCompensation","Doubts about compensation?","Mashaka juu ya fidia?"
"profile.placeholderEnterNumber","Enter number","Weka nambari"
"profile.placeholderHours","Hours","Masaa"
"profile.placeholderCompanyName","Company Name","Jina la Kampuni"
"profile.placeholderBrn","Business Registration Number","Nambari ya Usajili wa Biashara"
"profile.placeholderJobTitle","e.g. Driver","k.m. Dereva"
"profile.placeholderPhoneNumber","Phone number","Nambari ya simu"
"profile.placeholderFullAddress","Full address","Anwani kamili"
"profile.placeholderPermitType","Select permit type…","Chagua aina ya kibali..."
"profile.placeholderSalary","e.g. 25000","k.m. 25000"
"profile.placeholderAutoCalculated","Auto-calculated from salary + allowance","Imekokotwa kiotomatiki kutoka kwa mshahara + posho"
"profile.placeholderHoursMonth","e.g. 160","k.m. 160"
"profile.placeholderDaysMonth","e.g. 26","k.m. 26"
"profile.placeholderBreakMins","e.g. 60","k.m. 60"
"settings.title","Settings","mipangilio"
"settings.sectionAccount","Account & Profile","Akaunti na Wasifu"
"settings.sectionPreferences","Preferences","Mapendeleo"
"settings.sectionSupport","Support","Msaada"
"settings.myProfile","My Profile","Wasifu Wangu"
"settings.myProfileSubtitle","View and edit your work profile","Tazama na uhariri wasifu wako wa kazini"
"settings.displayCurrency","Display Currency","Onyesho la Sarafu"
"settings.displayCurrencySubtitle","Currently set to {{name}}","Kwa sasa imewekwa kuwa {{name}}"
"settings.baseCurrency","Base Currency","Sarafu ya Msingi"
"settings.baseCurrencySubtitle","Data stored in {{name}}","Data iliyohifadhiwa katika {{name}}"
"settings.notifications","Notifications","Arifa"
"settings.notificationsSubtitle","Manage alerts and reminders","Dhibiti arifa na vikumbusho"
"settings.expenses","Expenses","Matumizi"
"settings.expensesSubtitle","Track your spending history","Fuatilia historia yako ya matumizi"
"settings.transfers","Transfers","Uhamisho"
"settings.transfersSubtitle","Track money sent & received","Fuatilia pesa zilizotumwa na kupokewa"
"settings.documentVault","Document Vault","Hazina ya Hati"
"settings.documentVaultSubtitle","Passport, permit & important docs","Pasipoti, kibali na hati muhimu"
"settings.yourRights","Make a Report","Toa Ripoti"
"settings.yourRightsSubtitle","Report a workplace issue","Ripoti suala la mahali pa kazi"
"settings.payslips","Payslips","Payslips"
"settings.payslipsSubtitle","View and download your payslips","Tazama na upakue payslips zako"
"settings.contactUs","Contact Us","Wasiliana Nasi"
"settings.contactUsSubtitle","Get help and technical support","Pata usaidizi na usaidizi wa kiufundi"
"settings.privacyPolicy","Privacy Policy","Sera ya Faragha"
"settings.privacyPolicySubtitle","How we collect and handle your data","Jinsi tunavyokusanya na kushughulikia data yako"
"settings.termsOfService","Terms of Service","Masharti ya Huduma"
"settings.termsOfServiceSubtitle","The rules for using Kiruko","Sheria za kutumia Kiruko"
"settings.language","Language","Lugha"
"settings.languageSubtitle","Currently set to {{name}}","Kwa sasa imewekwa kuwa {{name}}"
"settings.languageModalTitle","Language","Lugha"
"settings.languageModalSubtitle","The app interface will switch immediately","Kiolesura cha programu kitabadilika mara moja"
"settings.logout","Sign Out","Ondoka"
"settings.logoutSubtitle","Securely sign out of your account","Ondoka kwenye akaunti yako kwa usalama"
"settings.loggingOut","Signing out…","Inatoka..."
"settings.logoutFailed","Logout failed. Please try again.","Imeshindwa kuondoka. Tafadhali jaribu tena."
"settings.deleteAccount","Delete Account","Futa Akaunti"
"settings.deleteAccountSubtitle","Permanently delete your account & personal data","Futa kabisa akaunti yako na data ya kibinafsi"
"settings.deleteAccountTitle","Delete your account?","Ungependa kufuta akaunti yako?"
"settings.deleteAccountWarning","This permanently deletes your Kiruko account and removes your personal data. Payroll and employment records your employer must keep by law are retained. This can't be undone.","Hii itafuta kabisa akaunti yako ya Kiruko na kuondoa data yako ya kibinafsi. Rekodi za malipo na kazi ambazo mwajiri wako lazima azitunze na sheria huhifadhiwa. Hili haliwezi kutenduliwa."
"settings.deleteAccountContinue","Continue","Endelea"
"settings.deleteAccountFinalTitle","This can't be undone","Hili haliwezi kutenduliwa"
"settings.deleteAccountFinalWarning","Your account will be deleted and you'll be signed out immediately.","Akaunti yako itafutwa na utaondolewa mara moja."
"settings.deleteAccountConfirm","Delete account","Futa akaunti"
"settings.deleteAccountCancel","Cancel","Ghairi"
"settings.deleteAccountFailedTitle","Couldn't delete account","Haikuweza kufuta akaunti"
"settings.deleteAccountFailed","Please try again, or contact hello@kiruko.mu.","Tafadhali jaribu tena, au wasiliana na hello@kiruko.mu."
"settings.rightsReserved","© 2026 Kiruko. All rights reserved.","© 2026 Kiruko. Haki zote zimehifadhiwa."
"settings.displayCurrencyModalTitle","Display Currency","Onyesho la Sarafu"
"settings.displayCurrencyModalSubtitle","Shown amounts will use this currency","Kiasi kilichoonyeshwa kitatumia sarafu hii"
"settings.baseCurrencyModalTitle","Base Currency","Sarafu ya Msingi"
"settings.baseCurrencyModalSubtitle","The currency your data is stored in","Sarafu ambayo data yako imehifadhiwa"
"settings.country","Country","Nchi"
"settings.countrySubtitle","Currently set to {{name}}","Kwa sasa imewekwa kuwa {{name}}"
"settings.countryModalTitle","Country","Nchi"
"settings.countryModalSubtitle","Used to show your correct country on reports","Inatumika kuonyesha nchi yako sahihi kwenye ripoti"
"settings.countryUpdateFailed","Couldn't update your country. Please try again.","Haikuweza kusasisha nchi yako. Tafadhali jaribu tena."
"settings.confirmNonMURTitle","Change currency to {{currency}}?","Je, ungependa kubadilisha sarafu iwe {{currency}}?"
"settings.confirmNonMURBody","{{name}} uses {{currency}}, not MUR. Your displayed pay and stored amounts will switch to {{currency}}. Continue?","{{name}} hutumia {{currency}}, sio MUR. Malipo yako na kiasi kilichohifadhiwa kitabadilika hadi {{currency}}. Ungependa kuendelea?"
"settings.confirmContinue","Continue","Endelea"
"companySettings.headerTitle","Organization Settings","Mipangilio ya Shirika"
"companySettings.companyProfile","Company Profile","Wasifu wa Kampuni"
"companySettings.companyProfileDesc","Edit company info & details","Badilisha maelezo na maelezo ya kampuni"
"companySettings.employees","Employees","Wafanyakazi"
"companySettings.employeesDesc","Manage your team members","Dhibiti washiriki wa timu yako"
"companySettings.documents","Employee Documents","Nyaraka za Wafanyikazi"
"companySettings.documentsDesc","View and manage documents","Tazama na udhibiti hati"
"companySettings.leaves","Leaves","Majani"
"companySettings.leavesDesc","Review leave requests","Kagua maombi ya likizo"
"companySettings.notifications","Notifications","Arifa"
"companySettings.notificationsDesc","Configure alerts","Sanidi arifa"
"companySettings.contactUs","Contact Us","Wasiliana Nasi"
"companySettings.contactUsDesc","Get support","Pata usaidizi"
"companySettings.logout","Logout","Ondoka"
"companySettings.logoutDesc","Sign out securely","Ondoka kwa usalama"
"companySettings.language","Language","Lugha"
"companySettings.languageDesc","Change the app language","Badilisha lugha ya programu"
"companySettings.geofencing","Geofencing","Geofencing"
"companySettings.geofencingDesc","Clock-in perimeters and branch sites","Mizunguko ya saa na maeneo ya matawi"
"companySettings.rightsReserved","© 2026 Kiruko. All rights reserved.","© 2026 Kiruko. Haki zote zimehifadhiwa."
"geofencing.title","Geofencing","Geofencing"
"geofencing.subtitle","Clock-in perimeters around your sites. An employee assigned to a branch can only clock in there.","Vipimo vya saa ndani kuzunguka tovuti zako. Mfanyikazi aliyepewa tawi anaweza tu kuingia ndani."
"geofencing.defaultMode","Company default mode","Hali chaguo-msingi ya kampuni"
"geofencing.modeOff","Off — record, never enforce","Imezimwa - rekodi, usiwahi kutekeleza"
"geofencing.modeBlock","Block — reject punches outside","Zuia - kataa ngumi nje"
"geofencing.modeFlag","Flag — allow but mark for review","Bendera - ruhusu lakini weka alama kwa ukaguzi"
"geofencing.sites","Sites","Maeneo"
"geofencing.noSites","No sites yet. Add one per branch or office.","Bado hakuna tovuti. Ongeza moja kwa kila tawi au ofisi."
"geofencing.addSite","Add a site","Ongeza tovuti"
"geofencing.editSite","Edit site","Hariri tovuti"
"geofencing.siteName","Site name","Jina la tovuti"
"geofencing.siteNamePlaceholder","e.g. Port Louis HQ","k.m. Makao Makuu ya Port Louis"
"geofencing.address","Address","Anwani"
"geofencing.searchAddress","Search an address","Tafuta anwani"
"geofencing.searching","Searching…","Inatafuta..."
"geofencing.searchUnavailable","Search is unavailable — use your current location or enter coordinates.","Utafutaji haupatikani - tumia eneo lako la sasa au ingiza viwianishi."
"geofencing.useMyLocation","Use my location","Tumia eneo langu"
"geofencing.locating","Locating…","Inatafuta..."
"geofencing.radiusMeters","Radius (meters)","Radius (mita)"
"geofencing.mode","Mode","Hali"
"geofencing.active","Active","Inayotumika"
"geofencing.save","Save","Hifadhi"
"geofencing.saving","Saving…","Inahifadhi..."
"geofencing.cancel","Cancel","Ghairi"
"geofencing.delete","Delete","Futa"
"geofencing.deleteConfirmTitle","Delete site","Futa tovuti"
"geofencing.deleteConfirmMessage","Delete “{{name}}”? Assigned employees will be unassigned. Historical payslips keep the name.","Ungependa kufuta “{{name}}”? Wafanyikazi waliokabidhiwa hawatatumwa. Hati za malipo za kihistoria huhifadhi jina."
"geofencing.employeesAssigned","{{count}} employee(s) assigned","{{count}} mfanyakazi/watumishi waliogawiwa"
"geofencing.emptyLatLng","Pick a location first (use my location or search an address).","Chagua eneo kwanza (tumia eneo langu au utafute anwani)."
"geofencing.created","Site added.","Tovuti imeongezwa."
"geofencing.updated","Site updated.","Tovuti imesasishwa."
"geofencing.deleted","Site deleted.","Tovuti imefutwa."
"geofencing.failed","Something went wrong. Try again.","Hitilafu fulani imetokea. Jaribu tena."
"geofencing.employees","employees","wafanyakazi"
"idleLock.promptMessage","Unlock Kiruko","Fungua Kiruko"
"idleLock.fallbackLabel","Use Passcode","Tumia Nambari ya siri"
"idleLock.authFailed","Authentication failed. Try again.","Uthibitishaji umeshindwa. Jaribu tena."
"idleLock.sessionLocked","Session Locked","Kikao Kimefungwa"
"idleLock.subtitleWithName","Hi {{name}}, your session was locked due to inactivity.","Hujambo {{name}}, kipindi chako kilifungwa kwa sababu ya kutokuwa na shughuli."
"idleLock.subtitleNoName","Your session was locked due to inactivity.","Kipindi chako kimefungwa kwa sababu ya kutokuwa na shughuli."
"idleLock.unlockFaceId","Unlock with Face ID","Fungua kwa kutumia Kitambulisho cha Uso"
"idleLock.unlockFingerprint","Unlock with Fingerprint","Fungua kwa Alama ya Kidole"
"idleLock.unlockPasscode","Unlock with Passcode","Fungua kwa nambari ya siri"
"idleLock.signOutInstead","Sign out instead","Ondoka badala yake"
"profileErrorBoundary.title","Profile Setup Required","Usanidi wa Wasifu Unahitajika"
"profileErrorBoundary.body","This feature requires a complete profile. Please complete your profile setup to continue.","Kipengele hiki kinahitaji wasifu kamili. Tafadhali kamilisha usanidi wako ili kuendelea."
"profileErrorBoundary.completeBtn","Complete Profile Setup","Kamilisha Kuweka Wasifu"
"profileErrorBoundary.retryBtn","Try Again","Jaribu Tena"
"notFound.title","Oops!","Lo!"
"notFound.doesNotExist","This screen doesn't exist.","Skrini hii haipo."
"notFound.goHome","Go to home screen!","Nenda kwenye skrini ya nyumbani!"
"profileValidator.oneMoment","One moment","Dakika moja"
"profileValidator.verifyingSession","Verifying your session...","Inathibitisha kipindi chako..."
"profileValidator.checkingProfile","Checking profile status...","Inakagua hali ya wasifu..."
"profileValidator.titleAccessRestricted","Access Restricted","Ufikiaji Umezuiwa"
"profileValidator.titleUserNotFound","User Not Found","Mtumiaji Hajapatikana"
"profileValidator.titleSetupRequired","Setup Required","Usanidi Unahitajika"
"profileValidator.descAuthRequired","Please log in to verify your identity and access your personal dashboard.","Tafadhali ingia ili kuthibitisha utambulisho wako na kufikia dashibodi yako ya kibinafsi."
"profileValidator.descUserNotFound","We couldn't find your user details. Try signing in again.","Hatukuweza kupata maelezo yako ya mtumiaji. Jaribu kuingia tena."
"profileValidator.descSetupRequired","Your profile needs a few more details before we can fully unlock your dashboard features.","Wasifu wako unahitaji maelezo machache zaidi kabla tuweze kufungua kikamilifu vipengele vya dashibodi yako."
"profileValidator.btnLogIn","Log In Now","Ingia Sasa"
"profileValidator.btnBackToLogin","Back to Login","Rudi kwa Ingia"
"profileValidator.btnCompleteSetup","Complete Setup","Kamilisha Kuweka"
"profileValidator.needHelp","Need help? Contact Support","Je, unahitaji usaidizi? Wasiliana na Usaidizi"
"languages.en","English","Kiingereza"
"languages.fr","Français","Kifaransa"
"languages.mg","Malagasy","Kimalagasi"
"languages.es","Español","Kihispania"
"languages.ar","العربية","العربية"
"languages.hi","हिन्दी","हिन्दी"
"languages.sw","Kiswahili","Kiswahili"
"documentVault.headerTitle","Document Vault","Hazina ya Hati"
"documentVault.headerSubtitle","Your important documents","Nyaraka zako muhimu"
"documentVault.expiringSoon","{{count}} document{{plural}} expiring soon","{{count}} hati{{plural}} muda wake unakwisha hivi karibuni"
"documentVault.addDocument","Add Document","Ongeza Hati"
"documentVault.emptyTitle","No documents stored yet","Bado hakuna hati zilizohifadhiwa"
"documentVault.emptyHint","Securely store your passport, work permit, contracts, pay stubs and other important documents — all in one place.","Hifadhi kwa usalama pasipoti yako, kibali cha kufanya kazi, kandarasi, hati za malipo na hati zingine muhimu - zote katika sehemu moja."
"documentVault.expiryNoExpiry","No expiry","Hakuna muda wa matumizi"
"documentVault.expiryExpired","Expired","Muda wake umeisha"
"documentVault.expiryDaysLeft","{{count}}d left","{{count}}d imeondoka"
"documentVault.modalTitle","Add Document","Ongeza Hati"
"documentVault.fieldDocumentType","Document Type","Aina ya Hati"
"documentVault.fieldVisibility","Visibility","Mwonekano"
"documentVault.visibilityPrivate","Private","Privat"
"documentVault.visibilityShared","Share with employer","Shiriki na mwajiri"
"documentVault.visibilityHint","Private documents are visible only to you.","Hati za kibinafsi zinaonekana kwako tu."
"documentVault.fieldDocumentName","Document Name","Jina la Hati"
"documentVault.fieldExpiryDate","Expiry Date","Tarehe ya kumalizika muda wake"
"documentVault.fieldNotes","Notes","Vidokezo"
"documentVault.fieldAttachFile","Attach File","Ambatisha Faili"
"documentVault.optional","(optional)","(si lazima)"
"documentVault.nameRequiredTitle","Name required","Jina linahitajika"
"documentVault.nameRequiredBody","Please enter a document name.","Tafadhali weka jina la hati."
"documentVault.errorTitle","Error","Hitilafu"
"documentVault.errorSave","Could not save document. Please try again.","Haikuweza kuhifadhi hati. Tafadhali jaribu tena."
"documentVault.errorDelete","Could not delete document.","Haikuweza kufuta hati."
"documentVault.errorOpenFile","Could not open file.","Haikuweza kufungua faili."
"documentVault.sharingNotAvailableTitle","Sharing not available","Kushiriki hakupatikani"
"documentVault.sharingNotAvailableBody","File sharing is not available on this device.","Kushiriki faili hakupatikani kwenye kifaa hiki."
"documentVault.deleteTitle","Delete Document","Futa Hati"
"documentVault.deleteConfirm","Remove ""{{name}}"" from your vault?","Je, ungependa kuondoa ""{{name}}"" kutoka kwenye kuba yako?"
"documentVault.deleteAction","Delete","Futa"
"documentVault.cancelAction","Cancel","Ghairi"
"documentVault.namePlaceholder","e.g. My Passport 2024","k.m. Pasipoti yangu 2024"
"documentVault.expiryPlaceholder","YYYY-MM-DD","YYYY-MM-DD"
"documentVault.expiryHint","Format: 2025-12-31 — dashes added automatically","Umbizo: 2025-12-31 - deshi zimeongezwa kiotomatiki"
